model,location,target_type,weights,forecast_date,nmod
IEM_Health-CovidProject,AT,Cases,0.365755544427908,2021-05-03,3
IEM_Health-CovidProject,AT,Deaths,0.302973641041735,2021-05-03,3
IEM_Health-CovidProject,BE,Deaths,0.341120780342694,2021-05-03,3
IEM_Health-CovidProject,CY,Cases,0.313397030061759,2021-05-03,3
IEM_Health-CovidProject,CY,Deaths,0.321966752571648,2021-05-03,3
IEM_Health-CovidProject,ES,Cases,0.324623722579674,2021-05-03,3
IEM_Health-CovidProject,FI,Cases,0.271773801544645,2021-05-03,3
IEM_Health-CovidProject,HR,Cases,0.240571722344191,2021-05-03,3
IEM_Health-CovidProject,IT,Cases,0.343249295068318,2021-05-03,3
IEM_Health-CovidProject,LT,Cases,0.369802192185646,2021-05-03,3
IEM_Health-CovidProject,LT,Deaths,0.254216642113242,2021-05-03,3
IEM_Health-CovidProject,LU,Deaths,0.284030372212774,2021-05-03,3
IEM_Health-CovidProject,LV,Cases,0.340370228991436,2021-05-03,3
IEM_Health-CovidProject,MT,Cases,0.261130485509934,2021-05-03,3
IEM_Health-CovidProject,NO,Cases,0.281767376602269,2021-05-03,3
IEM_Health-CovidProject,PT,Cases,0.289137016835654,2021-05-03,3
IEM_Health-CovidProject,PT,Deaths,0.425651654251799,2021-05-03,3
IEM_Health-CovidProject,RO,Deaths,0.282331464081996,2021-05-03,3
IEM_Health-CovidProject,SI,Cases,0.321660318149068,2021-05-03,3
IEM_Health-CovidProject,SI,Deaths,0.320011815849851,2021-05-03,3
IEM_Health-CovidProject,SK,Cases,0.377688671294643,2021-05-03,3
ILM-EKF,BE,Cases,0.396498047583517,2021-05-03,3
ILM-EKF,BG,Cases,0.254120529457121,2021-05-03,3
ILM-EKF,BG,Deaths,0.208533650860484,2021-05-03,3
ILM-EKF,CY,Cases,0.386514560679083,2021-05-03,3
ILM-EKF,EE,Cases,0.374464894409326,2021-05-03,3
ILM-EKF,GR,Cases,0.275841285418938,2021-05-03,3
ILM-EKF,HU,Cases,0.307772936717285,2021-05-03,3
ILM-EKF,IT,Deaths,0.311556847344744,2021-05-03,3
ILM-EKF,LT,Cases,0.286333348345014,2021-05-03,3
ILM-EKF,MT,Cases,0.372115388401057,2021-05-03,3
ILM-EKF,PT,Cases,0.352897987088006,2021-05-03,3
ILM-EKF,PT,Deaths,0.245868850956334,2021-05-03,3
ILM-EKF,RO,Cases,0.142221644520727,2021-05-03,3
ILM-EKF,RO,Deaths,0.32519529167519,2021-05-03,3
ILM-EKF,SI,Cases,0.295906007087037,2021-05-03,3
ILM-EKF,SK,Cases,0.24962678494848,2021-05-03,3
ILM-EKF,SK,Deaths,0.341801766653084,2021-05-03,3
RobertWalraven-ESG,BE,Deaths,0.360373213773188,2021-05-03,3
RobertWalraven-ESG,BG,Deaths,0.442064740434304,2021-05-03,3
RobertWalraven-ESG,FI,Deaths,0.356083883327089,2021-05-03,3
RobertWalraven-ESG,GR,Deaths,0.412596856080486,2021-05-03,3
RobertWalraven-ESG,HR,Deaths,0.373489179663982,2021-05-03,3
RobertWalraven-ESG,MT,Deaths,0.263101781280636,2021-05-03,3
RobertWalraven-ESG,PT,Deaths,0.328479494791867,2021-05-03,3
RobertWalraven-ESG,RO,Deaths,0.392473244242815,2021-05-03,3
RobertWalraven-ESG,SI,Deaths,0.380446718753209,2021-05-03,3
UMass-MechBayes,BG,Deaths,0.349401608705212,2021-05-03,3
UMass-MechBayes,CY,Deaths,0.371821863621732,2021-05-03,3
UMass-MechBayes,EE,Deaths,0.287365424191498,2021-05-03,3
UMass-MechBayes,FI,Deaths,0.377248399124468,2021-05-03,3
UMass-MechBayes,GR,Deaths,0.300302553382457,2021-05-03,3
UMass-MechBayes,HU,Deaths,0.395898454659961,2021-05-03,3
UMass-MechBayes,IT,Deaths,0.269840086977394,2021-05-03,3
