model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
ILM-EKF,CY,Cases,2021-03-15,4,1605.57260869565,464.739130434783,0,1140.83347826087,0.5,1,1,2379,2021-04-10
epiforecasts-EpiExpert,CY,Cases,2021-03-15,4,4284.27130434783,2993.69565217391,0,1290.57565217391,0.95,0,0,6775,2021-04-10
epiforecasts-EpiNow2,CY,Cases,2021-03-15,4,2298.14260869565,485.913043478261,0,1812.22956521739,0.4,1,1,3180,2021-04-10
EuroCOVIDhub-baseline,CY,Deaths,2021-03-15,1,1.89260869565217,1.60869565217391,0,0.283913043478261,0.8,0,1,3,2021-03-20
IEM_Health-CovidProject,CY,Deaths,2021-03-15,1,0.955652173913044,0,0.0434782608695652,0.912173913043478,-0.1,1,1,1,2021-03-20
ILM-EKF,CY,Deaths,2021-03-15,1,5.75260869565217,0.434782608695652,0,5.31782608695652,0.3,1,1,4,2021-03-20
RobertWalraven-ESG,CY,Deaths,2021-03-15,1,1.06913043478261,0.434782608695652,0,0.634347826086957,0.4,1,1,2,2021-03-20
epiforecasts-EpiExpert,CY,Deaths,2021-03-15,1,6.07521739130435,1.69565217391304,0,4.37956521739131,0.6,0,1,7,2021-03-20
epiforecasts-EpiNow2,CY,Deaths,2021-03-15,1,2.88173913043478,1.95652173913043,0,0.925217391304348,0.9,0,1,5,2021-03-20
EuroCOVIDhub-baseline,CY,Deaths,2021-03-15,2,0.813913043478261,0,0.217391304347826,0.596521739130435,-0.3,1,1,1,2021-03-27
IEM_Health-CovidProject,CY,Deaths,2021-03-15,2,2.67304347826087,0,1.52173913043478,1.15130434782609,-0.6,0,1,5,2021-03-27
ILM-EKF,CY,Deaths,2021-03-15,2,6.87565217391305,0.0869565217391304,0,6.78869565217391,0.1,1,1,2,2021-03-27
RobertWalraven-ESG,CY,Deaths,2021-03-15,2,1.03391304347826,0,0.260869565217391,0.77304347826087,-0.3,1,1,2,2021-03-27
epiforecasts-EpiExpert,CY,Deaths,2021-03-15,2,11.4621739130435,0.565217391304348,0,10.8969565217391,0.3,1,1,5,2021-03-27
epiforecasts-EpiNow2,CY,Deaths,2021-03-15,2,1.82826086956522,0.391304347826087,0,1.43695652173913,0.3,1,1,3,2021-03-27
EuroCOVIDhub-baseline,CY,Deaths,2021-03-15,3,4.11217391304348,0,3.26086956521739,0.851304347826087,-0.9,0,1,7,2021-04-03
IEM_Health-CovidProject,CY,Deaths,2021-03-15,3,6.13260869565217,0,4.69565217391304,1.43695652173913,-0.7,0,1,12,2021-04-03
ILM-EKF,CY,Deaths,2021-03-15,3,8.99695652173913,0,0.0869565217391304,8.91,-0.1,1,1,2,2021-04-03
RobertWalraven-ESG,CY,Deaths,2021-03-15,3,5.5904347826087,0,4.73913043478261,0.851304347826087,-0.98,0,0,9,2021-04-03
epiforecasts-EpiExpert,CY,Deaths,2021-03-15,3,64.4052173913044,2.73913043478261,0,61.6660869565218,0.4,1,1,23,2021-04-03
epiforecasts-EpiNow2,CY,Deaths,2021-03-15,3,2.28869565217391,0,0.0434782608695652,2.24521739130435,-0.1,1,1,1,2021-04-03
EuroCOVIDhub-baseline,CY,Deaths,2021-03-15,4,1.21304347826087,0,0.0434782608695652,1.1695652173913,-0.1,1,1,1,2021-04-10
IEM_Health-CovidProject,CY,Deaths,2021-03-15,4,3.44130434782609,0,1.65217391304348,1.78913043478261,-0.5,1,1,6,2021-04-10
ILM-EKF,CY,Deaths,2021-03-15,4,12.9773913043478,0.869565217391304,0,12.1078260869565,0.3,1,1,8,2021-04-10
RobertWalraven-ESG,CY,Deaths,2021-03-15,4,2.09478260869565,0,1.21739130434783,0.877391304347826,-0.6,0,1,4,2021-04-10
epiforecasts-EpiExpert,CY,Deaths,2021-03-15,4,411.106956521739,18.2608695652174,0,392.846086956522,0.7,0,1,100,2021-04-10
epiforecasts-EpiNow2,CY,Deaths,2021-03-15,4,5.53347826086957,1.56521739130435,0,3.96826086956522,0.5,1,1,8,2021-04-10
DSMPG-bayes,EE,Cases,2021-03-15,1,733.725217391304,314.260869565217,0,419.464347826087,0.6,0,1,1350,2021-03-20
EuroCOVIDhub-baseline,EE,Cases,2021-03-15,1,38.6878260869565,5.73913043478261,0,32.9486956521739,0.4,1,1,32,2021-03-20
IEM_Health-CovidProject,EE,Cases,2021-03-15,1,862.176956521739,504.782608695652,0,357.394347826087,0.7,0,1,1604,2021-03-20
ILM-EKF,EE,Cases,2021-03-15,1,1616.65173913044,1094.86956521739,0,521.782173913043,0.9,0,1,2838,2021-03-20
epiforecasts-EpiExpert,EE,Cases,2021-03-15,1,513.179565217391,53.3913043478261,0,459.788260869565,0.3,1,1,564,2021-03-20
