model,target_type,location,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill
IEM_Health-CovidProject,Cases,PL,1,14438.3779347826,3217.35452341137,2800.97909698997,8420.04431438127,-0.147759197324415,0.153461538461538,21912.9230769231,1.31556228606165,0.910918872207436
IEM_Health-CovidProject,Cases,PL,2,34787.8789214047,4844.93995819398,6929.39715719064,23013.5418060201,-0.246421404682274,0.104615384615385,46053.7884615385,1.37119945923694,1.08901187344071
IEM_Health-CovidProject,Cases,PL,3,57565.7540133779,8006.08093645485,11602.0342809365,37957.6387959866,-0.28989966555184,0.0621153846153846,75656.1346153846,1.36382409145944,1.3036509009875
IEM_Health-CovidProject,Cases,PL,4,78435.854506689,14167.0100250836,14234.0702341137,50034.7742474916,-0.311638795986622,0.0453846153846154,106749.307692308,1.38963177997701,1.52148443535522
IEM_Health-CovidProject,Deaths,PL,1,191.40397993311,115.168193979933,7.82274247491639,68.4130434782609,0.0462207357859532,0.138461538461538,295.769230769231,1.19255976511501,1.11827350329091
IEM_Health-CovidProject,Deaths,PL,2,349.255058528428,165.748369565217,17.7366220735786,165.770066889632,-0.065819397993311,0.197115384615385,568.615384615385,1.49971200021408,1.17820471466094
IEM_Health-CovidProject,Deaths,PL,3,562.930819397993,236.84135451505,23.5242474916388,302.565217391304,-0.0883946488294314,0.221730769230769,889.634615384615,1.72685660057076,1.32892962881151
IEM_Health-CovidProject,Deaths,PL,4,840.101404682274,351.466789297659,32.7943143812709,455.840301003345,-0.117658862876254,0.2525,1279.90384615385,1.8649893567861,1.56367160232592
ILM-EKF,Cases,CZ,1,7525.89179880648,1784.7357885763,3260.82011935209,2480.33589087809,-0.0169309462915601,-0.0735294117647059,10568.4705882353,0.724480794916222,0.488889937391176
ILM-EKF,Cases,CZ,2,25276.1045524297,4432.54274509804,7635.95822676897,13207.6035805627,-0.0936572890025575,-0.0466666666666667,35334.2745098039,0.905823965362327,0.645228491376974
ILM-EKF,Cases,CZ,3,53532.9495652174,10086.1021653879,11699.2796248934,31747.5677749361,-0.117527706734868,-0.0652941176470588,74491.5294117647,1.06913859350785,0.851841034421666
ILM-EKF,Cases,CZ,4,97354.4865643649,22684.9256095482,14892.9573742541,59776.6035805627,-0.139693094629156,-0.0805882352941176,135357.705882353,1.24411306056434,1.090744485956
ILM-EKF,Deaths,CZ,1,39.2618243819267,32.9532139812447,0.975277067348679,5.33333333333333,0.213248081841432,0.105882352941176,38.3137254901961,1.05769915907859,0.750318084008094
ILM-EKF,Deaths,CZ,2,60.18,41.637800511509,1.73401534526854,16.8081841432225,0.134816709292413,0.153921568627451,77.4117647058824,0.93146300433497,0.570514722339617
ILM-EKF,Deaths,CZ,3,97.7088491048593,54.5613640238704,3.35208866155158,39.7953964194373,0.0836658141517477,0.161372549019608,137.686274509804,0.88089136785715,0.555516580566389
ILM-EKF,Deaths,CZ,4,172.739045183291,78.9061381074169,6.64450127877238,87.1884057971015,0.0350724637681159,0.139803921568627,247.411764705882,0.948303343807792,0.647890594725484
ILM-EKF,Cases,DE,1,19836.839028133,8821.59350383632,2788.95907928389,8226.28644501279,-0.0288661551577153,0.112745098039216,30245.7058823529,0.807940561509102,0.82256833455121
